"",,CAN DO,,CAN DO,,CAN-,
ILR,,,,,,,
DESCRIPTION,,MOST OF,,SOME OF,,NOT,N/A
Levels,,,,,,,
"",,THE TIME,,THE TIME,,DO,
SPEAKING: I can . . .,,,,,,,
produce some memorized formulaic words and,,,,,,,
0+,,X,,,,,
phrases,,,,,,,
0+ ask questions using memorized formulaic phrases,,X,,,,,
0+ greet and introduce myself,,X,,,,,
0+ provide minimal biographical information,,X,,,,,
1 maintain simple exchanges about work experience,,,,X,,,
maintain simple exchanges about hobbies and,,,,,,,
1,,,,X,,,
interests,,,,,,,
1 maintain simple exchanges about travel,,,,X,,,
maintain simple exchanges about educational,,,,,,,
1,,,,X,,,
experience,,,,,,,
1 make simple recommendations,,,,X,,,
1 ask simple questions,,,,X,,,
cope with basic survival situation (role-play w/o,,,,,,,
1,,,,X,,,
complications),,,,,,,
2 narrate in the present,,,,X,,,
2 narrate in the past,,,,X,,,
2 narrate in the future,,,,X,,,
2 give physical description,,X,,,,,
2 give instructions,,,,X,,,
2 give geographical directions,,,,X,,,
2 report facts about current events,,,,,,,X
2 cope with a survival situation with a complication,,,,,,,X
3 discuss a hypothetical situation,,,,,,,X
3 present on a topic,,,,,,,X
discuss and compare societal issues and their,,,,,,,
3,,,,,,,X
implications,,,,,,,
3 state and defend a position or policy,,,,,,,X
LISTENING: I can . . .,,,,,,,
0+ recognize common greetings and introductions,,X,,,,,
"",,CAN DO,,CAN DO,,CAN-,
ILR,,,,,,,
DESCRIPTION,,MOST OF,,SOME OF,,NOT,N/A
Levels,,,,,,,
"",,THE TIME,,THE TIME,,DO,
"understand minimal exchanges, such as formulaic",,,,,,,
0+,,X,,,,,
questions and utterances,,,,,,,
1 understand simple statements and questions,,X,,,,,
understand general subject matter in simple material,,,,,,,
1,,X,,,,,
"dealing with self, family, and immediate environment",,,,,,,
understand main idea and details in straightforward,,,,,,,
2,,,,X,,,
instructions,,,,,,,
understand main idea and details in straightforward,,,,,,,
2,,,,X,,,
narration across timeframes,,,,,,,
understand main idea and details in straightforward,,,,,,,
2,,,,X,,,
descriptions,,,,,,,
3 comprehend supported opinion,,,,,,,X
3 comprehend hypothesis or conjecture,,,,,,,X
3 draw inferences,,,,,,,X
understand commonly used rhetorical devices such,,,,,,,
3,,,,,,,X
as simile and metaphor,,,,,,,
READING: I can . . .,,,,,,,
0+ recognize the basic elements of the writing system,,X,,,,,
0+ understand numbers,,X,,,,,
understand some isolated words and phrases,,,,,,,
"0+ (signage, personal and place names, formulaic",,X,,,,,
expressions),,,,,,,
1 understand simple statements and questions,,X,,,,,
1 understand general subject matter in simple material,,X,,,,,
understand main idea and details in instructions,,,,,,,
2,,,,X,,,
written for general audience,,,,,,,
understand main idea and details in narrations,,,,,,,
2,,,,X,,,
across timeframes written for general audience,,,,,,,
understand main idea and details in descriptions,,,,,,,
2,,,,X,,,
written for general audience,,,,,,,
3 comprehend supported opinion,,,,,,,X
3 comprehend hypothesis or conjecture,,,,,,,X
3 comprehend conjecture,,,,,,,X
